head,head_type,relation,tail,tail_type,evidence,source_doc_id,source_file,source_type,confidence
宫腔操作后导致内膜变薄、粘连,PathologicalState,causes,月经量少,Other,"慢慢减少有可能是卵巢功能衰退,但是不能除外是40岁之前做人工流产,或者宫腔操作后导致内膜变薄、粘连造成月经量少。此时要到医院检查女性激素,如果女性激素非常好说明还没有到围绝经状态,",Doc_train_0717_0000,train_0717,gold,1.0
40岁之前做人工流产,Treatment,causes,月经量少,Other,"退的时间段,如果月经量开始慢慢减少有可能是卵巢功能衰退,但是不能除外是40岁之前做人工流产,或者宫腔操作后导致内膜变薄、粘连造成月经量少。此时要到医院检查女性激素,如果女性激素非常好说明还没有到围绝经状态,",Doc_train_0717_0000,train_0717,gold,1.0
宫腔粘连,PathologicalState,causes,月经量少,Other,"是不能除外是40岁之前做人工流产,或者宫腔操作后导致内膜变薄、粘连造成月经量少。此时要到医院检查女性激素,如果女性激素非常好说明还没有到围绝经状态,月经量少有可能是宫腔粘连造成的。这时要做b超检查,必要时需要做手术,也叫宫腔镜检查,将粘连分开",Doc_train_0717_0000,train_0717,gold,1.0
女性激素非常好,TestResult,condition_of,宫腔粘连,PathologicalState,"是不能除外是40岁之前做人工流产,或者宫腔操作后导致内膜变薄、粘连造成月经量少。此时要到医院检查女性激素,如果女性激素非常好说明还没有到围绝经状态,月经量少有可能是宫腔粘连造成的。这时要做b超检查,必要时需要做手术,也叫宫腔镜检查,将粘连分开",Doc_train_0717_0000,train_0717,gold,1.0
卵巢功能衰退,PathologicalState,causes,月经量开始慢慢减少,Symptom,"40岁是女人卵巢功能开始衰退的时间段,如果月经量开始慢慢减少有可能是卵巢功能衰退,但是不能除外是40岁之前做人工流产,或者宫腔操作后导致内膜变薄、粘连",Doc_train_0717_0000,train_0717,gold,1.0
肠胃炎,Disease,is_a,消化系统器质性病变,MedicalCategory,"胃部出现针扎样的疼痛原因有很多,常见于消化系统器质性病变,比如肠胃炎、胃溃疡、胃糜烂、胆汁反流性胃炎等疾病。因为可能导致胃部针扎疼痛的病因",Doc_train_0717_0001,train_0717,gold,1.0
胃溃疡,Disease,is_a,消化系统器质性病变,MedicalCategory,"胃部出现针扎样的疼痛原因有很多,常见于消化系统器质性病变,比如肠胃炎、胃溃疡、胃糜烂、胆汁反流性胃炎等疾病。因为可能导致胃部针扎疼痛的病因有很多,",Doc_train_0717_0001,train_0717,gold,1.0
胃糜烂,AnatomicalSite,is_a,消化系统器质性病变,MedicalCategory,"胃部出现针扎样的疼痛原因有很多,常见于消化系统器质性病变,比如肠胃炎、胃溃疡、胃糜烂、胆汁反流性胃炎等疾病。因为可能导致胃部针扎疼痛的病因有很多,所以不建",Doc_train_0717_0001,train_0717,gold,1.0
胆汁反流性胃炎,Disease,is_a,消化系统器质性病变,MedicalCategory,"胃部出现针扎样的疼痛原因有很多,常见于消化系统器质性病变,比如肠胃炎、胃溃疡、胃糜烂、胆汁反流性胃炎等疾病。因为可能导致胃部针扎疼痛的病因有很多,所以不建议出现胃痛情况后",Doc_train_0717_0001,train_0717,gold,1.0
消化系统器质性病变,Disease,causes,胃部出现针扎样的疼痛,Symptom,"胃部出现针扎样的疼痛原因有很多,常见于消化系统器质性病变,比如肠胃炎、胃溃疡、胃糜烂、胆汁反流性胃炎等疾病。因为可能导致胃部针",Doc_train_0717_0001,train_0717,gold,1.0
高血压,TestResult,causes,主动脉粥样硬化,PathologicalState,"高血压要终身服药,控制血压最主要的目的是为了防止主要脏器的损害,特别是心脏、脑、肾脏的功能。因为高血压是主动脉粥样硬化最主要的危险因素,主动脉粥样硬化是引起心肌梗死以及脑卒中最主要的原因。",Doc_train_0717_0002,train_0717,gold,1.0
主动脉粥样硬化,PathologicalState,causes,心肌梗死,Disease,"目的是为了防止主要脏器的损害,特别是心脏、脑、肾脏的功能。因为高血压是主动脉粥样硬化最主要的危险因素,主动脉粥样硬化是引起心肌梗死以及脑卒中最主要的原因。当然,血压长期增高也会引起肾功能的损害。所以要",Doc_train_0717_0002,train_0717,gold,1.0
主动脉粥样硬化,PathologicalState,causes,脑卒中,Disease,"目的是为了防止主要脏器的损害,特别是心脏、脑、肾脏的功能。因为高血压是主动脉粥样硬化最主要的危险因素,主动脉粥样硬化是引起心肌梗死以及脑卒中最主要的原因。当然,血压长期增高也会引起肾功能的损害。所以要积极的控制",Doc_train_0717_0002,train_0717,gold,1.0
血压长期增高,TestResult,causes,肾功能的损害,PathologicalState,"的危险因素,主动脉粥样硬化是引起心肌梗死以及脑卒中最主要的原因。当然,血压长期增高也会引起肾功能的损害。所以要积极的控制血压达标,同时血脂、血小板以及尿酸水平的达标,防止重",Doc_train_0717_0002,train_0717,gold,1.0
高血压,TestResult,causes,主要脏器的损害,PathologicalState,"高血压要终身服药,控制血压最主要的目的是为了防止主要脏器的损害,特别是心脏、脑、肾脏的功能。因为高血压是主动脉粥样硬化最主要的危险因",Doc_train_0717_0002,train_0717,gold,1.0
细菌或病毒入侵体内,Disease,causes,泌尿系感染,Disease,"泌尿系感染因细菌或病毒入侵体内引起相关临床症状,多因细菌引起,即定植于皮肤或泌尿系统局部周围的细菌,",Doc_train_0717_0003,train_0717,gold,1.0
局部抵抗力下降,PathologicalState,causes,泌尿系感染,Disease,"泌尿系感染因细菌或病毒入侵体内引起相关临床症状,多因细菌引起,即定植于皮肤或泌尿系统局部周围的细菌,通过逆行感染,如通过尿道逆行到膀胱或局部抵抗力下降,引起泌尿系感染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮",Doc_train_0717_0003,train_0717,gold,1.0
逆行感染,Disease,causes,泌尿系感染,Disease,"泌尿系感染因细菌或病毒入侵体内引起相关临床症状,多因细菌引起,即定植于皮肤或泌尿系统局部周围的细菌,通过逆行感染,如通过尿道逆行到膀胱或局部抵抗力下降,引起泌尿系感染。日常生活中,出",Doc_train_0717_0003,train_0717,gold,1.0
泌尿系统屏障及抵御外界细菌感染功能下降,Disease,causes,细菌入侵泌尿系统,RiskFactor,"染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮水较少情况时,泌尿系统屏障及抵御外界细菌感染功能下降,易使细菌入侵泌尿系统引起泌尿系感染。",Doc_train_0717_0003,train_0717,gold,1.0
劳累,RiskFactor,causes,泌尿系统屏障及抵御外界细菌感染功能下降,Disease,"如通过尿道逆行到膀胱或局部抵抗力下降,引起泌尿系感染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮水较少情况时,泌尿系统屏障及抵御外界细菌感染功能下降,易使细菌入侵泌尿系统引起泌尿系感染。",Doc_train_0717_0003,train_0717,gold,1.0
生活不规律,Other,causes,泌尿系统屏障及抵御外界细菌感染功能下降,Disease,"尿道逆行到膀胱或局部抵抗力下降,引起泌尿系感染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮水较少情况时,泌尿系统屏障及抵御外界细菌感染功能下降,易使细菌入侵泌尿系统引起泌尿系感染。",Doc_train_0717_0003,train_0717,gold,1.0
机体抵抗力下降,PathologicalState,causes,泌尿系统屏障及抵御外界细菌感染功能下降,Disease,"胱或局部抵抗力下降,引起泌尿系感染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮水较少情况时,泌尿系统屏障及抵御外界细菌感染功能下降,易使细菌入侵泌尿系统引起泌尿系感染。",Doc_train_0717_0003,train_0717,gold,1.0
饮水较少,RiskFactor,causes,泌尿系统屏障及抵御外界细菌感染功能下降,Disease,"降,引起泌尿系感染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮水较少情况时,泌尿系统屏障及抵御外界细菌感染功能下降,易使细菌入侵泌尿系统引起泌尿系感染。",Doc_train_0717_0003,train_0717,gold,1.0
细菌入侵泌尿系统,RiskFactor,causes,泌尿系感染,Disease,"泌尿系感染因细菌或病毒入侵体内引起相关临床症状,多因细菌引起,即定植于皮肤或泌尿系统局部周围的细菌,通过逆行感染,如通过尿道逆行到膀胱或局部抵抗力下降,引起泌尿系感染。日常生活中,出现劳累、生活不规律、机体抵抗力下降、饮水较少情况时,泌尿系统屏障及抵御外界细菌感染功能下降,易使细菌入侵泌尿系统引起泌尿系感染。",Doc_train_0717_0003,train_0717,gold,1.0
女性生育器官存在异常,PathologicalState,causes,不孕不育,Other,"畅,同时还要检查激素水平是否存在异常,通过相关检查才能明确,是否是由于女性生育器官存在异常导致的不孕不育。男性需要检查精子数量、精子的存活度来明确是否存在生育障碍。无论是夫妻",Doc_train_0717_0005,train_0717,gold,1.0
病毒感染,Disease,causes,感冒,Disease,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。",Doc_train_0717_0006,train_0717,gold,1.0
感冒,Disease,causes,鼻部症状,Disease,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气",Doc_train_0717_0006,train_0717,gold,1.0
打喷嚏,Other,is_a,鼻部症状,MedicalCategory,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过",Doc_train_0717_0006,train_0717,gold,1.0
鼻塞,AnatomicalSite,is_a,鼻部症状,MedicalCategory,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过污染的",Doc_train_0717_0006,train_0717,gold,1.0
病毒,Disease,causes,感冒,Disease,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻",Doc_train_0717_0006,train_0717,gold,1.0
儿童免疫系统发育不完全、抵抗力比较差,RiskFactor,causes,反复的出现感冒,Disease,"而且是广泛存在的各种类型的病毒都可能引起来感冒,健康人群有时可会携带。儿童免疫系统发育不完全、抵抗力比较差,所以接触到这类带有病毒的飞沫、空气都会出现感染的现象,所以儿童容易反复的出现感冒。",Doc_train_0717_0006,train_0717,gold,1.0
"病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过污染的手和用具接触传播",Disease,causes,上呼吸道感染,Disease,"起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过污染的手和用具接触传播引起来上呼吸道感染,也就是感冒的病原体,多数存在于自然界中而且是广泛存在的各种类型的病毒",Doc_train_0717_0006,train_0717,gold,1.0
接触到这类带有病毒的飞沫、空气,Disease,causes,感染,Disease,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过污染的手和用具接触传播引起来上呼吸道感染,也就是感冒的病原体,多数存在于自然界中而且是广泛存在的各种类型的病毒都可能引起来感冒,健康人群有时可会携带。儿童免疫系统发育不完全、抵抗力比较差,所以接触到这类带有病毒的飞沫、空气都会出现感染的现象,所以儿童容易反复的出现感冒。",Doc_train_0717_0006,train_0717,gold,1.0
儿童免疫系统发育不完全、抵抗力比较差,RiskFactor,condition_of,接触到这类带有病毒的飞沫、空气,Disease,"感冒为病毒感染引起,又称为急性鼻炎,起病较急,主要表现为鼻部症状,比如打喷嚏、鼻塞。而病毒主要通过患者的喷嚏或者含有病毒的飞沫经过空气传播,或经过污染的手和用具接触传播引起来上呼吸道感染,也就是感冒的病原体,多数存在于自然界中而且是广泛存在的各种类型的病毒都可能引起来感冒,健康人群有时可会携带。儿童免疫系统发育不完全、抵抗力比较差,所以接触到这类带有病毒的飞沫、空气都会出现感染的现象,所以儿童容易反复的出现感冒。",Doc_train_0717_0006,train_0717,gold,1.0
浅部真菌,Other,causes,头癣,Other,"头癣是浅部真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染",Doc_train_0717_0007,train_0717,gold,1.0
浅部真菌,Other,causes,足癣,Other,"头癣是浅部真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染头皮时,很多患者可能因为感染真菌,感觉",Doc_train_0717_0007,train_0717,gold,1.0
浅部真菌,Other,causes,手癣,Other,"头癣是浅部真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染头皮时,很多患者可能因为感染真菌,感觉到痒,",Doc_train_0717_0007,train_0717,gold,1.0
浅部真菌,Other,causes,股癣,Other,"头癣是浅部真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染头皮时,很多患者可能因为感染真菌,感觉到痒,通过抓",Doc_train_0717_0007,train_0717,gold,1.0
感染真菌,Disease,causes,痒,Other,"真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染头皮时,很多患者可能因为感染真菌,感觉到痒,通过抓挠以后就造成自体的传播。抓到指甲里面,比如指甲盖位置,或者是指",Doc_train_0717_0007,train_0717,gold,1.0
感染头皮,Disease,condition_of,感染真菌,Disease,"真菌引起,浅部真菌可以感染很多的部位,足癣、手癣、股癣都是常见部位。当感染头皮时,很多患者可能因为感染真菌,感觉到痒,通过抓挠以后就造成自体的传播。抓到指甲里面,比如指甲盖位置,或者是指",Doc_train_0717_0007,train_0717,gold,1.0
肛裂伤口处会有分泌物不断流出,Other,causes,局部潮湿,Other,"肛裂伤口处会有分泌物不断流出,导致局部潮湿,局部出现瘙痒症状。患者想要缓解瘙痒,首先需要使用温水或者高锰酸钾溶液",Doc_train_0717_0008,train_0717,gold,1.0
肛裂伤口处会有分泌物不断流出,Other,causes,局部出现瘙痒,Symptom,"肛裂伤口处会有分泌物不断流出,导致局部潮湿,局部出现瘙痒症状。患者想要缓解瘙痒,首先需要使用温水或者高锰酸钾溶液对伤口进行清洗",Doc_train_0717_0008,train_0717,gold,1.0
饮食,RiskFactor,causes,大便像果冻,Other,"大便像果冻与饮食、胃肠道蠕动过快、胃肠炎、阿米巴痢疾等情况有关,部分人饮食上不太注意,",Doc_train_0717_0009,train_0717,gold,1.0
胃肠道蠕动过快,AnatomicalSite,causes,大便像果冻,Other,"大便像果冻与饮食、胃肠道蠕动过快、胃肠炎、阿米巴痢疾等情况有关,部分人饮食上不太注意,经常吃一些黏性较",Doc_train_0717_0009,train_0717,gold,1.0
胃肠炎,Disease,causes,大便像果冻,Other,"大便像果冻与饮食、胃肠道蠕动过快、胃肠炎、阿米巴痢疾等情况有关,部分人饮食上不太注意,经常吃一些黏性较大的食物",Doc_train_0717_0009,train_0717,gold,1.0
阿米巴痢疾,Other,causes,大便像果冻,Other,"大便像果冻与饮食、胃肠道蠕动过快、胃肠炎、阿米巴痢疾等情况有关,部分人饮食上不太注意,经常吃一些黏性较大的食物,这些黏性物",Doc_train_0717_0009,train_0717,gold,1.0
"肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出",AnatomicalSite,causes,果冻样大便,Other,"常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出会出现果冻样大便。胃肠道蠕动过快患者食物摄入后,肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出,容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重",Doc_train_0717_0009,train_0717,gold,1.0
胃肠道蠕动过快患者食物摄入后,Other,condition_of,"肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出",AnatomicalSite,"常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出会出现果冻样大便。胃肠道蠕动过快患者食物摄入后,肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出,容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重",Doc_train_0717_0009,train_0717,gold,1.0
吃生冷、刺激、油炸类的食物,Other,causes,症状加重,Disease,"吸收食物残渣里面的水分,就随着大便一块排出,容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重。肠道部位出现炎症后,会出现局部水肿、渗液增多,加上肠黏膜脱落,随着大",Doc_train_0717_0009,train_0717,gold,1.0
肠道部位出现炎症,Disease,causes,局部水肿,ClinicalSign,"容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重。肠道部位出现炎症后,会出现局部水肿、渗液增多,加上肠黏膜脱落,随着大便排出也容易出现果冻样大便。阿米巴痢",Doc_train_0717_0009,train_0717,gold,1.0
肠道部位出现炎症,Disease,causes,渗液增多,Symptom,"容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重。肠道部位出现炎症后,会出现局部水肿、渗液增多,加上肠黏膜脱落,随着大便排出也容易出现果冻样大便。阿米巴痢疾会对人体",Doc_train_0717_0009,train_0717,gold,1.0
"肠黏膜脱落,随着大便排出",AnatomicalSite,causes,果冻样大便,Other,"常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出会出现果冻样大便。胃肠道蠕动过快患者食物摄入后,肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出,容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重。肠道部位出现炎症后,会出现局部水肿、渗液增多,加上肠黏膜脱落,随着大便排出也容易出现果冻样大便。阿米巴痢疾会对人体消化系统造成损害,导致肠道蠕动",Doc_train_0717_0009,train_0717,gold,1.0
阿米巴痢疾,Other,causes,对人体消化系统造成损害,PathologicalState,"大便像果冻与饮食、胃肠道蠕动过快、胃肠炎、阿米巴痢疾等情况有关,部分人饮食上不太注意,经常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出会出现果冻样大便。胃肠道蠕动过快患者食物摄入后,肠道还没有来得及吸收食物残渣里面的水分,就随着大便一块排出,容易出现果冻样大便,尤其在吃生冷、刺激、油炸类的食物后会导致症状加重。肠道部位出现炎症后,会出现局部水肿、渗液增多,加上肠黏膜脱落,随着大便排出也容易出现果冻样大便。阿米巴痢疾会对人体消化系统造成损害,导致肠道蠕动加快,还会形成局部溃疡或脓肿,脓性分泌物随着大便排出容易",Doc_train_0717_0009,train_0717,gold,1.0
对人体消化系统造成损害,PathologicalState,causes,肠道蠕动加快,AnatomicalSite,"液增多,加上肠黏膜脱落,随着大便排出也容易出现果冻样大便。阿米巴痢疾会对人体消化系统造成损害,导致肠道蠕动加快,还会形成局部溃疡或脓肿,脓性分泌物随着大便排出容易出现这种情况。",Doc_train_0717_0009,train_0717,gold,1.0
对人体消化系统造成损害,PathologicalState,causes,局部溃疡或脓肿,Symptom,"液增多,加上肠黏膜脱落,随着大便排出也容易出现果冻样大便。阿米巴痢疾会对人体消化系统造成损害,导致肠道蠕动加快,还会形成局部溃疡或脓肿,脓性分泌物随着大便排出容易出现这种情况。",Doc_train_0717_0009,train_0717,gold,1.0
局部溃疡或脓肿,Symptom,causes,脓性分泌物随着大便排出,Other,"样大便。阿米巴痢疾会对人体消化系统造成损害,导致肠道蠕动加快,还会形成局部溃疡或脓肿,脓性分泌物随着大便排出容易出现这种情况。",Doc_train_0717_0009,train_0717,gold,1.0
"部分人饮食上不太注意,经常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出",RiskFactor,causes,果冻样大便,Other,"大便像果冻与饮食、胃肠道蠕动过快、胃肠炎、阿米巴痢疾等情况有关,部分人饮食上不太注意,经常吃一些黏性较大的食物,这些黏性物质不容易消化,随着大便一块排出会出现果冻样大便。胃肠道蠕动过快患者食物摄入后,肠道还没有来得及吸收食物残渣里面的水分",Doc_train_0717_0009,train_0717,gold,1.0
植物神经系统的任何部位受到损害和刺激,PathologicalState,causes,植物神经功能紊乱,PathologicalState,"植物神经系统也称自主神经系统,植物神经系统的任何部位受到损害和刺激,均可导致植物神经功能紊乱。植物神经紊乱可引起全身各系统的症状,这些症状可以独立为疾病,也可以为",Doc_train_0717_0010,train_0717,gold,1.0
